,content,sentiment
236,Medically Incorrect - Obama + Fuzzy Math = Bogus Health Care Reform http://bit.ly/dw4HIY #hcr #obamacare #tcot,negative
237,Liberals are in fact cowards in every sense of the word. Only 30 of them showed up in St. Louis to support #HCR #tcot #p2 #ocra #sgp,negative
238,RT @JoeKenHa: The word ''freedom'' appears zero times in the new #hcr bill. #tcot,negative
239,"Obama's So Vain, I Bet He Thinks This Protest Is For Him http://bit.ly/aaJoNo They Should Be Holding Torches & Pitch Forks #tcot #hcr",negative
240,Obama's Plan Would Worsen Budget Woes http://tinyurl.com/ylgzwn4 #hcr #tcot #sgp #tlot #hhrs #ocra #ucot #teaparty,negative
241,Pelosi: A scummy option to pass #hcr: hopes it's deep enough in the weeds that average voters will be fooled.. http://bit.ly/c3W42o,negative
242,A Corporate Restructuring of Healthcare Fails the American People http://bit.ly/bD7Dv5 #hcr #healthcare #socialism #tcot #p2,negative
243,YOU DEMOCRATS WILL GIVE UP YOUR JOBS FOR PELOSI? #hcr #tcot #sgp #tlot #hhrs #liberty #ocra #ucot #teaparty #iamthemob #killbill,negative
244,#HCR ! RT @Jamberta:  just have to say how fucking sad JFK was talking about how far behind the US is healthcare and NOTHING HAS CHANGED,negative
245,RT @whitehouse: VIDEO: What Health Reform Will Deliver - This Year http://bit.ly/dprgvg (weekly address) #hcr,neutral
246,Health Care Whip Count Stands At 194 (Yes)-191 (No)'' (FDL) http://bit.ly/c9mXyP <-- Not sure if accurate #hcr #tcot,neutral
247,@ArrghPaine We must see to it that truth wins the debate over health care. http://is.gd/aJhuU #p2 #hcr //Plz read & heed this call 2 action!,neutral
248,"HCR History, Chapter 3: The Great Medicare Debate #p2 #hcr #OFA  http://viigo.im/2O3L",neutral
249,RT @florm15: @Winterthur We need something just as good as the UK's health care system! --> http://ow.ly/1fm5n / or Canada's #hcr,negative
251,#gopthinkopposite GOP think that using Reconciliation to pass H/care will kill/destroy the Senate #tcot #gop #hcr #p2,negative
252,@OrrinHatch why should we believe that you or the dems would bring anything new to the new table? #utpol #hcr,negative
253,RT @stevekimura: .@OrrinHatch How did you get so comfortable LYING about reconciliation? #HCR #p2 #BadgeOShame,negative
254,Barack Obama: Bringing the happiness of the Post Office to a Hospital near you #fail #tcot #hcr #tlot #ocra #teaparty,negative
255,Obama is hanging in there like a bad tooth on this health care stuff. What part of ''consent of the governed'' doesn't he understand? #hcr,negative
256,Obama will do anything to ram #hcr through Congress. Instead of worrying about what the American people want. http://is.gd/9Gzoi #tcot,negative
257,"RT @knifework: If Dems pass #hcr via reconciliation, I don't think it is hard to imagine them being the minority party for the next 30+ yrs",neutral
258,Leader Boehner will be on @LarsLarsonShow at 3:05 EST to discuss the Dems' gov't takeover of #hcr,neutral
259,HHS Sec Sebelius will be holding online chat on #hcr. Let her know Americans want to #startover: http://bit.ly/9Tmv01 #tcot,neutral
260,@Karoli @owillis The Sunlight list of 7 house Dems who must change their vote to in favor of #HCR  http://bit.ly/dtZGV6 please RT,neutral
261,House GOPers have convinced GA Rep. Nathan Deal to postpone resignation until after the #hcr vote moving Pelosi's magic number back to 217,neutral
262,RT @NRCC Rep. Deal to delay resignation so he can vote no on Dems attempt to takeover #hcr http://bit.ly/atJ3tw way to go,neutral
263,"Let's talk about the Canadian health care ''crisis''. If 1 person dies from delayed or denied care, somebody gets FIRED or goes to JAIL. #hcr",neutral
264,RT @ali: You can sign @Freedomworks No Reconciliation petition! Looks awesome. http://bit.ly/fw_norec #hcr,positive
265,"Call Rep Kildee & tell him to forget #StupakPitts, #HCR is too important. 202-225-3611 #fem2",positive
266,U$A Ranks #37 in Healthcare Worldwide #PassTheDamnBill #p2 #hcr #topprog #dems #obama #hcs,positive
267,"RT @RaklGps: @Wrench06 if everyone who wanted #hcr spoke out and the rest of us shut up, Twitter wouldn't crash all the time ;-) #tcot #GOP",positive
268,Call #Congress today. Tell them YES on #hcr! (202) 224-3121 #PUBLICOPTION,positive
269,"Like Healthcare, Every Person Deserves an Education. It's a Human Right! #hcr #p2 #tcot #march4 #ouruni #ucstrike",positive
270,Good Washington Post article: 5 Myths About Health Care Around the World. http://bit.ly/139Yzs  Be informed in your opinions! #hcr,positive
271,AAJ Pres. op-ed in today's Philly Inquirer about protecting patients: medmal = political crutch for #hcr opponents http://ow.ly/1e8Au,positive
272,Here's the WSJ editorial on Rep. Ryan that Dr Barrasso mentioned on the Senate floor: http://bit.ly/9KUOfp #hcr,neutral
273,Reconciliation Primer : http://bit.ly/ciqNPz #tcot #hcr via @Flicka47,negative
274,RT @hipEchik: Reconciliation Primer : http://bit.ly/ciqNPz #tcot #hcr via @Flicka47,negative
276,Handy dandy list of swing vote Representatives to contact on ObamaCare http://short.to/19jpu #tcot #hcr (plz RT),negative
277,Orrin Hatch Schooled By E.J. Dionne On Reconciliation http://bit.ly/atZJIR #p2 #hcr #tcot,negative
278,RT @dccc Code Red - Democratic Congressional Campaign Committee (DCCC) http://ow.ly/1pIoXm,positive
280,Senior Dem today: #HCR will ''cut hundreds of billions of dollars out of Medicare.'' Video here: http://www.youtube.com/watch?v=5EGYI5aii1k,neutral
281,Use www.you2gov.org 2lobby Senate members 2 sign Sen Bennet's letter & pass the #publicoption via #reconciliation http://bit.ly/aM3fR4 #hcr,positive
282,Please call REP Micheal McMahon And ask him to vote FOR #HCR  1-202-225-3371 NY # 1-718-351-7062,positive
283,Let's go for the gusto! How about a real #publicoption; and dare I say #singlepayer? #p2 #hcr #hc09 http://ow.ly/1enZB,positive
284,At risk Dem House seat constituent contact info: #Virginia CD-2 Glenn Nye http://is.gd/9HAGr #HandsOff #HealthCare #hcr,positive
285,Today Linda visited Rep Matheson's office and pledged her family will fight for him if he fights for #HCR.  http://tweetphoto.com/13258596,positive
286,Dem health bill being written to tight schedule: http://www.awesomecapital.com #hcr http://tinyurl.com/y9zt4lb,neutral
287,@glennbeck Clue to @SenatorLincoln RT TARGET=VOTE OUT 12 VULNERABLE DEMS Alan Grayson (202) 225-2176 (407) 841-1757 #killthebill #hcr #tcot,negative
288,Going live on http://cpnlive.com in 10 minutes to discuss the #economy and #hcr Join me. #tcot #ocra #sgp #tlot #hhrs #teaparty,neutral
289,"RT @BrainyGurl: Call Rep Kanjorski & tell him to forget #StupakPitts, #HCR is too important. 202-225-6511 #fem2",positive
291,"Call or Email Senator Byrd and tell him to pass the #publicoption via #reconciliation: (202) 224-3954, http://byrd.senate.gov/. #hcr",positive
292,"Call or Email Senator Begich & tell him to pass the #publicoption via #reconciliation: (202) 224-3004, http://begich.senate.gov/public/ #hcr",positive
293,Progressive Breakfast: The President's #PublicOption Pledge | OurFuture.org http://ow.ly/1pLGd3 #hcr #jobs #banks #cfpa #climate #oil #p2,positive
295,"``The bill reflects bipartisanship, the votes don't.'' - Dodd on #hcr http://bit.ly/bOtiHD",negative
296,MORAL DISARMAMENT http://bit.ly/av3o7H) IMPORTANT READ #tcot #teaparty #politics #sgp #beck #gop #rush #conservative #p2 #hcr #dnc #dems,negative
297,Shocker: Eric Cantor exploits unemployment no.s to bash #hcr: http://bit.ly/c6kQcv,negative
298,Senate #GOP's last ditch plan to kill #HCR via the Byrd rule: http://bit.ly/bCnnE8 #p2,neutral
299,RT @ALEC_States Virginia First State to Pass #healthcare Freedom Act: 38 states lining up against Obamacare http://bit.ly/au967R #hcr,negative
300,@kombiz that graphic ignores the big point: reconciliation would only make small #hcr tweaks. big bill has already passed with 60 votes.,neutral
301,Sen Byrd blasts WV newspapers distortions of #hcr as ''barkings from the nether regions of Glennbeckistan'' http://bit.ly/9ohDQG,negative
302,"RT @JeffreyYoung_HC: Rep. John Tanner (D-TN), a no vote on #hcr in Nov., is resolutely on the fence now. http://bit.ly/9MmA6E",neutral
303,RNC Fund-raising Scandal And Conservatism's True ''Code Red'' Colors http://ow.ly/1pMy2F #hcr #p2 #fear #scary #welltheycantwinontheissues,negative
304,Glenn Beck and crew continue to mock the uninsured: http://bit.ly/aGUsle #p2 #HCR #health #noisemachine,negative
305,"GOP ad criticizes #hcr for ''weaken[ing] Medicare'', adds ''government-run health care is wrong.'' Can't make this stuff up. http://tr.im/QL9q",negative
306,Robert Byrd: Editorial Resembles 'Barkings From The Nether Regions Of Glennbeckistan' - http://ow.ly/1eMSG - #hcr #healthcare,negative
307,RT @KarlFrisch: Robert Byrd: Editorial Resembles 'Barkings From The Nether Regions Of Glennbeckistan' - http://ow.ly/1eMSG - #hcr,negative
308,"By the way, for those that don't know why the Massa resign is so big.  It brings the #hcr vote back to 216 needed and he was a no.",neutral
309,"RT @cynthiaboaz: Hey America, you know where else health care is considered a ''luxury''? The Middle Ages. #hcr #p2 #tcot",positive
310,Handy dandy list of swing vote Representatives to contact on ObamaCare http://bit.ly/9zWVzU #hcr #tcot (plz RT),negative
311,"If all the retiring House dems, who dont have to worry about facing the voter backlash, vote for #hcr, then it will likely pass.",negative
312,Media Matters ADMITS Barack Obama Has Bribed Congressman Jim Matheson http://is.gd/9KVtn #tcot #hcr,negative
313,Massa's exit eases health reform passage http://j.mp/9xIge3 #tcot #hcr #healthcare #obamacare,negative
315,RT @fleckman: OOPS!! The President's Health Plan WON'T Cut the Budget Deficit  http://bit.ly/9jKT8h #tcot #tlot #sgp #hcr #p2,negative
316,We need TRUE #HCR. Call Sen.McCaskill 202-224-6154 and tell her to support the #PublicOption thru Reconcilition. #p2,positive
317,Robert Reich: The Jobless Rate Makes #HealthCare ( #hcr ) Reform Both Harder and More Important http://ow.ly/16JjMm,positive
318,"RT @Proudlib: RT @craftyme25: Cons revere family values unless the family is not theirs, then it's tough sh*t if U cant afford hc #HCR #tcot",negative
319,RT @several_: RT @Tikkun44: Tweet Senator @russfeingold and tell him to pass the #publicoption through #reconciliation. #hcr,positive
321,NEW Obamacare :  In Summary and In Full http://tinyurl.com/ykydrrs #Tcot #hcr #handsoff,negative
322,RT @mmaction: VIDEO: Rep. @EricCantor Says The GOP Wants ''More People Uninsured'' - Freudian slip? http://bit.ly/bCYc1Y #p2 #tcot #hcr,negative
323,Boehner 2 President Obama: yr Health Care Bill is Unconstitutional http://bit.ly/c3EFk5 #tcot #hcr #sgp #tlot #ocra #hhrs #liberty #patriot,negative
324,The Founders Vision Is Obama's Nightmare http://bit.ly/diLdMW #tcot #hcr #sgp #tlot #ucot #hhrs #ampat #liberty #patriot #rsrh,negative
325,"Love how the GOP fight like hell 4 a woman ''NOT'' 2 have a right 2 her own body, yet all support ''DEATH PENALTY''  Damn Hypocrites #p2 #hcr",negative
326,Negotiating with the GOP o #hcr is like negotiating with terrorists & we all know how well tht works #p2 #passthedamnbill,negative
327,"Lawyers and Lobbyists contribute $13,456,386 to Obama, Do you think this might be stoping TORT reform! #p2 #tcot #HCR #teaparty #gop",negative
328,Trouble in Arkansas for Dems (Fox News ''fair & balanced'') ''the Scott Brown formula??'' http://bit.ly/bdvsET #p2 #hcr #tcot,negative
329,Toxic: Dems Set to Use ''Divisive'' ''Trick'' to Ram Through Job-Killing Gov't Takeover of Health Care http://bit.ly/cvjzdW #hcr,negative
330,@ComfyPaws Disgusted is more like it! Seniors who have paid into Medicare may discover that they have no one to administer care. #hcr #tcot,negative
331,RT @toddeherman: Warren Buffet Says Start Over On Health Care http://gop.am/HwBW Will POTUS Listen To His Own Adviser? #tcot #hcrsummit,negative
332,RT @toddeherman Warren Buffet Says Start Over On Health Care http://gop.am/HwBW Will POTUS Listen To His Own Adviser? #tcot #hcr,negative
333,Juan Williams on #HCR: ''Rahm can't get the american people to eat the dog food'' Truer words and all that. #tcot,negative
334,Let them eat applesauce: Right-wing #media mock the uninsured: http://bit.ly/c9FdPF #hcr #p2 #topprogs #journalism,negative
335,"RT @Shoq Give a Republican a fish, and he'll eat for a day. Teach him to fish, and you'll be lucky if you ever eat again. #rsc #p2",negative
336,McCain's very specific hypocrisy re reconciliation and #HCR: http://bit.ly/buLD2A,negative
337,FALSE .@KarlRove Tweet: Reconcliation ''Unprecedented'' http://bit.ly/bWbUml #p2 #tcot #hcr,negative
338,Clinton & Carter pollsters say ObamaCare is a disastrous failure (via @washingtonpost): http://bit.ly/9x87Cz #hcr,negative
339,#GOP #Christians: Christ's Teachings v. US #HealthCare\nhttp://bit.ly/3KyF1p  #hcr #hcs #christianity,neutral
340,Wanna talk #HCR? Get on the air: http://bit.ly/cflmKH #OFA #p2,neutral
341,HA! Funny cartoon: Republicans answer Obama's call for real Health Care Reform http://bit.ly/cxNGbb #p2 #hcr,neutral
342,Today's show: White House calls for up or down vote on #healthreform #p2 #hcr #hc09 http://ow.ly/1cNOI,neutral
343,A quick rundown of some of the best (and worst) ideas thrown around for health care reform http://bit.ly/99Xtyh #hcr #hcreform,neutral
344,RT @CaitlinCNN Pew report: 17 million children go without dental coverage every year. #hcr [R kids R 2 of them & we're professionals],neutral
345,The lesson here is simple: health care reform is necessary to win hockey gold.  #hcr #olympics,positive
346,We need TRUE #HCR. Call Sen.Hagan 202-224-6342 and tell her to support the #PublicOption thru Reconcilition. #topprog,positive
347,RT @thebighoot: 10 Reasons to Support GOP Alternative http://bit.ly/cFn5u2 #tcot #p2 #teaparty #liberal #gop #vote2010 #HCR #mob,positive
348,"RT @OTOOLEFAN Canadians, on average, live 3 years longer than Americans. Must be that horrible health care system they have #hcr",positive
349,"RT @AntoniaZ: RT @OTOOLEFAN Canadians, on average, live 3 years longer than Americans. Must be horrible health care system they have #hcr",positive
350,Sign on to tell Congress: Health Care Reform Can't Wait! http://ow.ly/1cLJ7 #hcr,positive
351,#Obama challenges #GOP to help get #healthreform done #p2 #hcr #hc09 http://ow.ly/1cNLE,positive
352,We are way too far to the Right.  I love my country...but Canada is more normal.\n#hcrsummit,positive
353,FUNNY YOUTUBE VIDEO || Joe Lieberman Blocks More Things ||  http://bit.ly/5iKII6 || #hcr,negative
354,Fact Checking Pres. Obama on Deficit Reduction http://bit.ly/bvVWQ9 #tcot #hcr,negative
355,@repmikemichaud @RepMikeRoss @repnormdicks @repperlmutter  How many calls are you getting SAYING NO to #Healthcare #hcr,negative
356,@usrepmikedoyle @Barbara_Boxer @blanche4senate @evanbayh  How many calls are you getting SAYING NO to #Healthcare #hcr,negative
357,"RT @chucktodd WH won't be happy to know most of DC (read:Congress) is reading this story, not focused on #hcr. http://ping.fm/Mxqtb",negative
358,@PressSec Warren Buffett says start over on health care. Will the WH listen to its economic adviser? #askgibbs #tcot #hcr,negative
359,In honor of Obama's #hcr announcement 2morrow - ''The Delusional Deafness of Obama'' http://bit.ly/cvUV7w #tcot #tlot #p2,negative
360,"Obama wants to include republican ideas in the #hcr bill, so there will be some blank sheets of paper and a reset button. #p2 #ACORN",negative
361,"#GOPs #SarahPalin Loves Government #healthcare For Her Son, Tripp http://bit.ly/9Th3yn #hcr #hcs #p2",negative
362,RT @thejoshuablog: @senjohnmccain @johncornyn @jimdement @johnensign @chuckgrassley @orrinhatch: It must suck knowing you can't stop #HCR?,negative
363,RT @TheDailyDebate  ''Lost'' is best analogy to #hcr . Every time it looks over we flashback to beginning wondering how this is going to end.,negative
364,"A scaled-back #hcr bill? Nuh-uh, says Hoyer. http://bit.ly/dixps9",neutral
365,RT @stone_circle Global Warming: Skeptic Arguments vs What the Science Says: http://digg.com/d31KNor?t #ClimateChange #pgn,neutral
366,34 Senators have now signed Sen. Bennet's letter to pass the #publicoption through #reconciliation http://bit.ly/aM3fR4 #hcr,neutral
367,"Obama's health care reform plan to include GOP ideas (CNN) http://on.cnn.com/dkN2dw #HealthCare #HCR #News\'', ",neutral
368,#hcr reconciliation packg could include initiative aimed at overhauling the federal student loan program: http://tr.im/QtTU,neutral
369,"Sen. Mitch McConnell: The Sales Pitch May Be New, But The Bill Isn't [w/ video] http://bit.ly/c3Bhx4 #hcr #tcot",neutral
370,Exclusive: What happens next in #healthcare @Politico #hcr #healthreform http://bit.ly/cfzcd4,neutral
371,Obama's Changes to Senate #hcr Bill Include Rationing Via Price Controls http://is.gd/9qqLo #tcot #tlot #sgp #ocra,neutral
372,RT @whitehouse: Context on last exchange - WaPo: ''the CBO found that premiums go down under health-care reform'' http://bit.ly/7EmpEy #hcr,positive
373,RT @RenewingAmerica: @thebighoot: CBO: Republican health plan to cut premiums and deficit   Washington Examiner: http://bit.ly/1j6B6D  #HCR,positive
374,VOTE Bill Halter for Senate! Follow @BillHalter & GOTV! #p2 #AR #Arkansas #ARSen #ARdems #HCR #topprog #OFA,positive
375,RT @escapetochengdu Maddow to GOP: ''You can't stop health reform. But you can stop embarassing yourselves.'' http://bit.ly/9mkEmn #hcr,positive
376,thinks fate of #hcr rests a lot less with President and a lot more with back bencher house members whose names most ppl never heard...,neutral
380,BrianINC - Why did Jimmy Carter vote for Barack Obama? Because Carter didn't want to be the worst President in history. -Favorites  #HCR,negative
381,RW:  read the facts be4 YOU LIE http://bit.ly/Yq92d #p2 #hcr,negative
382,Using reconciliation to pass Obamacare would be inappropriate and unprecedented. Here's why http://bit.ly/9AlElS\n #hcr,negative
383,Harold Ford doesn't seem to realize that the GOP would vote against their mothers to thwart Obama #MeetDepressed #p2 #hcr,negative
384,I swear I could write about the hypocrisy of this GOP everyday and NEVER run out of material! Arrgh! #p2 #hcr #MeetDepressed,negative
385,"Do U like living in yr parents' house, like a child, aged 40, obeying their rules? U will LUV Obamacare #handsoff #tcot #hcr",negative
386,"If Jesus came back today, Conservatives would stone him for healing the sick w/o charging them a dime. #hcr RT @tlw3 #nogod #noreligion",negative
387,#tcot  #hcr ObamaCare Is A Gateway To Tyranny..http://bit.ly/9WeJjV  #politics  #tlot  #catcot @michellemalkin  @NewsBusters,negative
388,Watching @maddow. Teabaggers at townhall meetings are domestic thug terrorists. Terrorizing elected officials & #hcr supporters. #tcot #p2,negative
389,We asked House Dems how they were going to vote on #hcr. Here's what we learned: http://bit.ly/aU6yu8 http://bit.ly/cnz7UO,neutral
390,RT @ddjango    Former CIA Pilot Tells of Guns and Drugs Shipments http://bit.ly/9tuO6t,neutral
391,RT @m4ur4: getting ready to head out with my @ufcw brothers and sisters to march 4 #hcr #m9,neutral
392,Road Map: Democrats Determined to Finish #hcr Bill by Easter http://bit.ly/avW9jK,neutral
393,@ckieff You could make links go to a page you control that reads source then forwards to Twitter. Then you have a record on you site stats.,neutral
394,"RT @KagroX: This #hcr march has gotten considerably larger, joined by other groups en route. Likely several thousand out now.5-7k? More? #m9",neutral
395,RT @Hexham67: Phone calls in support of #hcr are working. KEEP IT UP PROGRESSIVES!! Goal is in sight! #Publicoption right behind! #p2,positive
396,"Kudos to Ann Kirkpatrick for proposing Congress take an $8,700 pay cut  http://bit.ly/bAF1yD  #p2",positive
397,Dems: Writing a Sad Chapter in Our Nation's History - Can't wait til Nov Chapter! #KILLtheBILL #teaparty #ucot #tcot #hc #hcr,negative
398,"Rep Donnelly, vote NO on #hcr! http://bit.ly/cp6uDH Don't let us down! #tcot @libertyforce",negative
399,RT @GOPLeader: Good Grief: Chaos Reigns Among Dem Leaders as House Hurtles Towards Health Care Vote http://bit.ly/aqrbeV #hcr,negative
400,"Hey #Pelosi, at least Marie Antoinette let them eat cake....you're trying to feed us a big steaming pile of sh!t #hcr #tcot",negative
401,Can we ''deem & pass'' a bill to oust Obama? #tcot #teaparty #sgp #hcr  #killthebill,negative
402,"Massive arrogance, smug condescending leaders, and unconstitutional power grabs by Democrats. It is up to citizens to end it. #hcr #tcot",negative
403,Vote NO on an up-and-down vote on #HCR. Lets put a fork in this super bad bill. #killthebill #tcot #tweetcongress #sgp,negative
404,RT.@Shoq: OOPSIE! Even American Enterprise Institute (AEI) says #GOP is lying about reconciliation. http://bit.ly/bCOa9m #p2 #hcr,negative
405,"OK, I'm getting a little panicky about #hcr.  Someone tell me it's not gonna pass. #kthx",negative
406,"No transparency. Closed door tactics. Pelosi's #hcr bill=more govt mandates, more taxes, & more borrowing. Let's stop and start over. #tcot",negative
407,Phone lines jammed? Contact your Representatives through our Action Center: http://is.gd/aL2Wz #tcot #hcr,neutral
408,#GOPCodeRed Vote Count: Yes-189 No-205 Undecided-37 Stay up-to-date here: http://bit.ly/dlgoGP #tcot #sgp #hcr,neutral
409,"NYT: why is O going on Fox to talk #hcr, can he persuade it's viewers? G: big audience share & it's worth a shot.  #whbrief",positive
410,Why isn't Obama going nuclear over Lehman fraud? http://bit.ly/aqh8eN Hopefully the answer is just that he's waiting until #hcr passes.,positive
411,Pass. The. Damn. Bill.  Let's not forget the moral and civic responsibility we have to help those less fortunate. #hcr,positive
412,Freedom will always appeal to more people than Gov't control. Stand firm and let no one quiet your voice. #ocra #tcot #hcr,positive
413,"RT@AmericasBrave @SarahPalinUSA , @Sarahpalin @Obama @HCR  I am a REAL American and I am in favor of health care reform.#HCR, #Sarahpalin",positive
414,Dems: yes you can pass healthcare reform! Don't let ignorance and fear rule our days any longer! #hcr,positive
415,Thank You @RepPaulRyan 4Speaking the Clear and Concise Truth abt Gov Run HC http://bit.ly/c7GqzD #tcot #ucot #ocra #teaparty #gop #hc #hcr,positive
416,The crowd at the Tea Party rally today was the best case yet for preserving the right to chose. #p2 #hcr #ACORN,positive
420,"Lots of people are talking about rate hikes, but what they're NOT talking about is how it impacts women: http://seiu.me/hw #HCRsummit",negative
421,OUTSTANDING! Friedman on Socialized (ObamaCare) Medicine  http://bit.ly/cY0dRw HT @anjwolf #tcot #hcr #p2,negative
422,Let them eat applesauce: Right-wing #media mock the uninsured: http://bit.ly/c9FdPF #hcr #p2 #topprogs #journalism,negative
423,RT @Senate_GOPs: Sen. Mitch McConnell: Americans Won't Stand For It http://bit.ly/a0GO0o #hcr #tcot,negative
424,RT @lmdapper: Obama balances between jobs and health care http://tinyurl.com/yzrwlbf || jobs and #HCR go hand in hand.//POTUS CARES!!,negative
425,Great piece by @OrrinHatch on the unprecedented danger of using reconciliation health care  http://bit.ly/9v68gy #TCOT #HCR #SGP,negative
426,Sen. Orrin Hatch (R-UT): Reconciliation on #hcr would be an assault to the democratic process http://bit.ly/9v68gy,negative
427,"RT @Heritage Reconciliation is highly controversial, and for healthcare would be nuclear, unprecedented. http://bit.ly/d4pdHE #hcr",negative
428,Just to be clear - the CBO found that premiums go DOWN under health care reform http://bit.ly/7EmpEy #hcr,neutral
429,via @huffingtonpost: Three More Senators Join Public Option Effort http://bit.ly/c0W31J #p2 #hcr #publicoption,neutral
430,Pelosi Redefines Down as Up:  http://bit.ly/bB6Gif (via @postandcourier) #hcr #tcot,neutral
431,BO moneyman Soros unhappy w BO http://bit.ly/citw8L #tcot #teaparty #politics #sgp #GlennBeck #rush #ocra #conservative #p2 #hcr #dems,positive
432,Email Senator Baucus http://baucus.senate.gov/ and tell him to support the #publicoption through #reconciliation. #hcr,positive
433,News: #Medicare patients brace for doctor boycott http://bit.ly/ceuoxF - It has some tips on what to do if you're dropped. #hcr,positive
434,RT @Marnus3: BREAKING: Ann Coulter's adam's apple has been issued it's own area code: 666. #p2 #hcr @myen,negative
435,Bunning complained that he was on a senate-only elevator. It had to be a dumbwaiter. #p2 #hcr #ACORN @myen,negative
436,It is eating 100% of the US economy.  When will it stop? http://twitpic.com/18svus #tcot #ocra #hcr #rs,negative
437,WaPo editorial: Dems' process for passing #hcr bill w/o voting on it 'unseemly' and contrary to transparency pledge http://bit.ly/c0Wyk2,negative
438,Cincinnati Enquirer editorial: the Democrats' arrogant approach to #hcr http://bit.ly/axqQTp,negative
439,"House Dems, do NOT cooperate with Pelosi as she seeks to Slaughter the Constitution to pass #HCR. You will be accessories to the crime!",negative
440,"Reality: Even if #HCR passes, it will NEVER go into effect. Country will collapse first. This is nothing more than taxes NOW #tcot #ocra #p2",negative
441,"RT @BrentBozell: For once, @WashingtonPost has it EXACTLY right about Pelosi's abuse of power. http://ow.ly/1mQOT #tcot #hcr  #surge",negative
442,SLAM CONGRESS TODAY! Use this list -  http://bit.ly/agv4fT START OVER! RT THIS ALL DAY! #tcot #tlot #hcr,negative
443,RT @fleckman: SLAM CONGRESS TODAY! Use this list -  http://bit.ly/agv4fT START OVER! RT THIS ALL DAY! #tcot #tlot #hcr #teaparty #sgp #gop,negative
444,"THE LIES GROW: Now #Obama is promising #hcr will cause premiums to fall ''3,000%'' & will guarantee all employees raises http://bit.ly/d7sq70",negative
445,RT @billieraven RT @mardod Rep. Smith has poll on front pg 2 C if he shld pass #hcr. Tell him 2 #passthedamnbill! http://ow.ly/1mUWa #p2,negative
446,RT @teh_Dede: The Tea Party is NOT protesting Healthcare Reform.  We are protesting THIS bill and the actions of THIS congress. #tcot #hcr,negative
447,RT Obama's #hc plan worsens budget outlook http://ow.ly/1lpQG (@WashingtonPost Op-Ed) #hcr #handsoff #healthcare #teaparty #tcot  @GOPWhip,negative
448,"Put Rep. Patrick J. Murphy (D.,Pa), a blue dog facing tough reelection fight in PA 8, says he is a yes on #hcr.",neutral
449,If the House Enacts the Senate #HCr Bill without Voting on It... | Cato Liberty http://bit.ly/blzOZj #tcot #obama,neutral
450,#HCR #healthcare Swing Voter: Earl Pomeroy CALL!! DC:202-225-2611 Local:701-224-0355,neutral
451,Hearing first-hand reports that Lincoln Davis will vote no on health care reform bill. Keep the pressure on. #hcr,positive
452,RT @jcohntnr: Pelosi's pitch to Liberals on #healthreform -- It's convincing http://bit.ly/dyC6G5 #hcr #politics,positive
454,Republicans call on Americans to `rise up' against Obama's health-care bill''... from @jonward11 - http://tinyurl.com/yagjpaq #hcr #hcot,negative
455,Rush Limbaugh: ''I don't think that (the Dems) are close'' on the #hcr votes; ''I don't think they're 5 short''... #tcot #rush,negative
457,O calls on Congress to schedule the vote ''in the next few weeks.''  A little vague there. #hcr,negative
458,RT @GOPLeader: White House Blog treats the American people like they're Stupid:  http://bit.ly/8YGHz8 #hcr,negative
459,"@danielspengies u don't need me. u need serious mental health, which is provided in #hcr reform. BLOCK",negative
460,Today I stopped seeing Obama as president. His comments on Fox News confirmed my suspicion that he is a mentally ill dictator #tcot #p2 #hcr,negative
461,DUH? LIKE ANY GOOD LITTLE COMMIE RT @prolifehealth Obama Continues To Ignore America!! http://bit.ly/bQe22g #hcr,negative
462,RT @JohnThune2012: NEJM: 1/3 of doctors could leave medicine if ObamaCare passes: http://bit.ly/9985Dy #tcot #hcr,negative
463,What Obama has done is expose the progressive incremental expansionism that has been alway going on. #tcot #tlot #teaparty #hcr,neutral
464,A few words for progressives on #HCR http://bit.ly/cIBa6h #OFA #p2,neutral
465,Sheesh. Congress begs President to take lead on #hcr and then complains when he does: http://bit.ly/b5A6GW,neutral
466,Obama declares the American people will be more secure with #HCR and the country will be stronger.'',neutral
467,"Facing the disturbing possibility that I am already in hell, & my punishment is to spend eternity waiting for a final verdict on #hcr",neutral
468,"There are two ways to conquer and enslave a nation. One is by the sword, the other is by debt. John Adams #tcot #hcr",positive
469,RT @EzKool: RT @lucorico: Can a person really be ''pro life'' while being anti health?  Health care for all! #HCR #p2 #tcot #hcr,positive
470,Limbaugh vows to leave the country if health care reform passes. What more motivation could we possibly need? http://bit.ly/bkbT1w #p2 #hcr,positive
471,Rush Limbaugh promises to leave US if health care passes. Let's make it so people! http://ow.ly/1gjJo #hcr #p2,positive
472,Wonder what country Rush Limbaugh will move to when #hcr passes--or will he be like a garbage barge floating around because no one wants it?,positive
473,@StrandedWind That is true. Most of us are just one hospital ride away from bankruptcy. #hcr,positive
474,OUR President --> http://tinyurl.com/yz7scx9   God bless Him and his Family #gop #tcot #palin #beck #teaparty #dem #Obama #hc #hcr #p2,positive
475,"When a woman is 11 x as likely to die in childbirth in the US as in Ireland, we need #hcr. My col: http://nyti.ms/bFTb0o",positive
476,"RT @HealthReformNow Fact of the Day: U.S. now spends ~$1 in every $6 on health care. w/o #hcr, in 30 years it will be $1 out of every $3.",neutral
